Using launch settings from src\PoLocalCompare.Api\Properties\launchSettings.json...
Building...
[10:12:55 INF] Ensured Azure Table Storage table exists: Models
[10:12:55 INF] Ensured Azure Table Storage table exists: Duels
[10:12:55 INF] Ensured Azure Table Storage table exists: DuelResults
[10:12:55 INF] Ensured Azure Table Storage table exists: EloHistory
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Options.toph8h75gu.wasm responded 200 in 6.4767 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Logging.Abstractions.60456wql8i.wasm responded 200 in 6.5349 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Validation.fejvxfp9cz.wasm responded 200 in 6.9914 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.JSInterop.WebAssembly.rckyrl71lm.wasm responded 200 in 6.0749 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.JSInterop.9do6y9xojp.wasm responded 200 in 6.5613 ms
[10:14:01 INF] HTTP GET /_framework/System.Linq.Dynamic.Core.4vazbp99me.wasm responded 200 in 8.4437 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.VisualBasic.91iw3j3d9p.wasm responded 200 in 6.8137 ms
[10:14:01 INF] HTTP GET /_framework/dotnet.native.ykrnppwhq2.js responded 200 in 139.2961 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.CSharp.452y5fjxmv.wasm responded 200 in 12.8371 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Win32.Primitives.2mjytoh92q.wasm responded 200 in 7.3119 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.VisualBasic.Core.re3geseai5.wasm responded 200 in 11.2963 ms
[10:14:01 INF] HTTP GET /_framework/Radzen.Blazor.sliewrggq9.wasm responded 200 in 23.7351 ms
[10:14:01 INF] HTTP GET /_framework/System.Buffers.m4yhcvz2y2.wasm responded 200 in 6.9128 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Win32.Registry.yz8nt3ycsq.wasm responded 200 in 9.2004 ms
[10:14:01 INF] HTTP GET /_framework/System.AppContext.uwq3fpef1w.wasm responded 200 in 8.6318 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Concurrent.1zv6wuzklu.wasm responded 200 in 10.1742 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Immutable.6uzpuv4o5d.wasm responded 200 in 11.2977 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.63jrcion39.wasm responded 200 in 6.6346 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Specialized.84wojkejb4.wasm responded 200 in 10.3486 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.Annotations.cjsvkufomv.wasm responded 200 in 10.5777 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.NonGeneric.k5rgagff9o.wasm responded 200 in 12.9600 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.EventBasedAsync.en4q13ibd5.wasm responded 200 in 7.7692 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.DataAnnotations.vpng0qt4u6.wasm responded 200 in 9.2965 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.Primitives.u0y5oi3qdg.wasm responded 200 in 5.2282 ms
[10:14:02 INF] HTTP GET /_framework/System.ComponentModel.m11rh1qn2x.wasm responded 200 in 5.8791 ms
[10:14:02 INF] HTTP GET /_framework/System.Configuration.j8qjkqg593.wasm responded 200 in 5.5195 ms
[10:14:02 INF] HTTP GET /_framework/System.Core.ickp29885z.wasm responded 200 in 5.0893 ms
[10:14:02 INF] HTTP GET /_framework/System.Console.x9at0eh4vs.wasm responded 200 in 5.8078 ms
[10:14:02 INF] HTTP GET /_framework/System.Data.DataSetExtensions.904tnen1ot.wasm responded 200 in 6.0452 ms
[10:14:02 INF] HTTP GET /_framework/System.ComponentModel.TypeConverter.e2hbv9lola.wasm responded 200 in 14.1970 ms
[10:14:02 INF] HTTP GET /_framework/System.Data.0h75nr7qqd.wasm responded 200 in 6.1608 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.Debug.aeh9b1tcuc.wasm responded 200 in 6.2184 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.Contracts.z1eotzj35n.wasm responded 200 in 7.9385 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.FileVersionInfo.kv9gl8mgag.wasm responded 200 in 5.5760 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.DiagnosticSource.ou2dt7nfo2.wasm responded 200 in 7.7487 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.StackTrace.wvlboxd9cz.wasm responded 200 in 6.3006 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.TextWriterTraceListener.mx5w1z1p6w.wasm responded 200 in 5.9607 ms
[10:14:02 INF] HTTP GET /_framework/System.Data.Common.4wisaz8pj4.wasm responded 200 in 22.6995 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.Process.lqtqkmw274.wasm responded 200 in 9.5225 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.Tools.862j1ozg5o.wasm responded 200 in 7.6402 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.Tracing.bnz7jo4op8.wasm responded 200 in 8.3494 ms
[10:14:02 INF] HTTP GET /_framework/System.Drawing.v0usa2s224.wasm responded 200 in 6.7002 ms
[10:14:02 INF] HTTP GET /_framework/System.Diagnostics.TraceSource.j08okd90mo.wasm responded 200 in 9.4092 ms
[10:14:02 INF] HTTP GET /_framework/System.Drawing.Primitives.k3z431p3v7.wasm responded 200 in 8.2100 ms
[10:14:02 INF] HTTP GET /_framework/System.Dynamic.Runtime.iktlm0yhdx.wasm responded 200 in 7.0206 ms
[10:14:02 INF] HTTP GET /_framework/System.Formats.Asn1.9iyl1hnh76.wasm responded 200 in 9.1826 ms
[10:14:02 INF] HTTP GET /_framework/System.Globalization.Calendars.e8yl47y6cv.wasm responded 200 in 7.0592 ms
[10:14:02 INF] HTTP GET /_framework/System.Formats.Tar.9ikmelhi7g.wasm responded 200 in 7.1141 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Compression.Brotli.ibxx4kh8c6.wasm responded 200 in 6.4763 ms
[10:14:02 INF] HTTP GET /_framework/System.Globalization.4ulc930few.wasm responded 200 in 6.9484 ms
[10:14:02 INF] HTTP GET /_framework/System.Globalization.Extensions.fvxkfs32tv.wasm responded 200 in 11.4370 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Compression.FileSystem.bselp9vv9w.wasm responded 200 in 8.6725 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.FileSystem.AccessControl.oi9xn5s0h3.wasm responded 200 in 6.4449 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Compression.ZipFile.b0ha8vyo8i.wasm responded 200 in 6.7741 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Compression.sgbc42zrd8.wasm responded 200 in 8.0438 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.FileSystem.DriveInfo.fi1uhp9255.wasm responded 200 in 9.5877 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.FileSystem.Primitives.6j2ed42ac7.wasm responded 200 in 8.1421 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.FileSystem.Watcher.v9i07bnq2k.wasm responded 200 in 9.2040 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.FileSystem.fktu0k4b93.wasm responded 200 in 7.6908 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.IsolatedStorage.8ll4gxwfs1.wasm responded 200 in 7.6584 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.MemoryMappedFiles.6do4olk7ib.wasm responded 200 in 9.8605 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Pipes.AccessControl.5lvzz4lks7.wasm responded 200 in 9.4173 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Pipelines.21z0t9w6sq.wasm responded 200 in 11.0503 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.UnmanagedMemoryStream.d1pja42pyi.wasm responded 200 in 6.4559 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.Pipes.xosph8vk4a.wasm responded 200 in 6.6203 ms
[10:14:02 INF] HTTP GET /_framework/System.IO.i9g92fmb9y.wasm responded 200 in 8.5390 ms
[10:14:02 INF] HTTP GET /_framework/System.Linq.Queryable.vwinf8twbn.wasm responded 200 in 6.4958 ms
[10:14:02 INF] HTTP GET /_framework/System.Linq.AsyncEnumerable.4m1mh525k0.wasm responded 200 in 12.7185 ms
[10:14:02 INF] HTTP GET /_framework/System.Linq.rp2jklkmsi.wasm responded 200 in 7.6066 ms
[10:14:02 INF] HTTP GET /_framework/System.Linq.Parallel.qf7zemz9aw.wasm responded 200 in 9.2658 ms
[10:14:02 INF] HTTP GET /_framework/System.Linq.Expressions.4nat0rber0.wasm responded 200 in 14.4650 ms
[10:14:02 INF] HTTP GET /_framework/System.Memory.3r0soomurg.wasm responded 200 in 10.4791 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Http.Json.t9gqpmtbpb.wasm responded 200 in 6.3809 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Mail.qk214miut2.wasm responded 200 in 6.0386 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Http.9rl4gopayw.wasm responded 200 in 10.1498 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.NameResolution.50dzekuu9x.wasm responded 200 in 7.0759 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.HttpListener.zg37o92yol.wasm responded 200 in 9.3937 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.NetworkInformation.k8343mqust.wasm responded 200 in 7.0513 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Quic.grloe2ix5j.wasm responded 200 in 5.6972 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Primitives.whs5oed1wm.wasm responded 200 in 7.0301 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Requests.r8ar2pd94c.wasm responded 200 in 5.8201 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Ping.00vh2kvsiz.wasm responded 200 in 11.5596 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.ServerSentEvents.37wbq4jfsy.wasm responded 200 in 6.9880 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Security.yn3zcskz4j.wasm responded 200 in 9.5310 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.WebClient.e5a4gx4ylt.wasm responded 200 in 5.3232 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.Sockets.utzdm9sw2p.wasm responded 200 in 6.0473 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.WebProxy.38jcv8jeeu.wasm responded 200 in 6.0111 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.WebHeaderCollection.rbzkmij005.wasm responded 200 in 7.5445 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.WebSockets.Client.nv5izr3rt6.wasm responded 200 in 7.6757 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.ServicePoint.j436yqvrg9.wasm responded 200 in 12.5830 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.WebSockets.hdzn84g6uh.wasm responded 200 in 7.3339 ms
[10:14:02 INF] HTTP GET /_framework/System.Numerics.on9qk50okp.wasm responded 200 in 6.2773 ms
[10:14:02 INF] HTTP GET /_framework/System.Net.zku96ychk7.wasm responded 200 in 8.8037 ms
[10:14:02 INF] HTTP GET /_framework/System.Numerics.Vectors.1l8xruz8uh.wasm responded 200 in 8.7918 ms
[10:14:02 INF] HTTP GET /_framework/System.Private.Uri.clehp4avpy.wasm responded 200 in 7.0120 ms
[10:14:02 INF] HTTP GET /_framework/System.ObjectModel.4omhtq90sd.wasm responded 200 in 11.8133 ms
[10:14:02 INF] HTTP GET /_framework/System.Private.Xml.Linq.ga3n3gh9b6.wasm responded 200 in 6.5926 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.DispatchProxy.b7qn4zpc0q.wasm responded 200 in 7.2168 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Emit.Lightweight.3tzjd7znni.wasm responded 200 in 6.6656 ms
[10:14:02 INF] HTTP GET /_framework/System.Private.DataContractSerialization.zlwtcvnuqv.wasm responded 200 in 21.4437 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Extensions.ymwga5opgl.wasm responded 200 in 6.8889 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Emit.3t7flfwg7o.wasm responded 200 in 10.8400 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Emit.ILGeneration.x0vkqyycss.wasm responded 200 in 15.5836 ms
[10:14:02 INF] HTTP GET /_framework/System.Private.Xml.g9rvjereoe.wasm responded 200 in 24.3406 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.TypeExtensions.ivmzcfvrc6.wasm responded 200 in 7.9702 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Primitives.n2ngq6as7g.wasm responded 200 in 9.8695 ms
[10:14:02 INF] HTTP GET /_framework/System.Resources.Reader.c9z9nieytf.wasm responded 200 in 5.6943 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.Metadata.9lgg9wjd2a.wasm responded 200 in 12.8773 ms
[10:14:02 INF] HTTP GET /_framework/System.Reflection.v4mfyzbte8.wasm responded 200 in 8.8121 ms
[10:14:02 INF] HTTP GET /_framework/System.Resources.Writer.tx9namivq6.wasm responded 200 in 7.4204 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.CompilerServices.VisualC.ddbsai2xh9.wasm responded 200 in 5.3017 ms
[10:14:02 INF] HTTP GET /_framework/System.Resources.ResourceManager.f3fiwdwb50.wasm responded 200 in 8.8243 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.CompilerServices.Unsafe.5yw8jyjkyt.wasm responded 200 in 7.5474 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Extensions.f4fqaba1oz.wasm responded 200 in 7.3953 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Handles.kpe61fymig.wasm responded 200 in 7.8824 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.InteropServices.02r2ubft18.wasm responded 200 in 5.6740 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.InteropServices.RuntimeInformation.esodb2rpbi.wasm responded 200 in 5.8457 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Intrinsics.j8lrpban8m.wasm responded 200 in 5.8417 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Loader.bm8d2pac0a.wasm responded 200 in 6.4165 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Numerics.e3fl2oogjk.wasm responded 200 in 7.3094 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Serialization.Primitives.xy5d3j3dn1.wasm responded 200 in 7.4954 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Serialization.Xml.mmwsbcsgly.wasm responded 200 in 6.6916 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Serialization.Json.pez04wd9mo.wasm responded 200 in 7.5716 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Serialization.qfpmfujegm.wasm responded 200 in 6.6427 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.Serialization.Formatters.a0v88kqnif.wasm responded 200 in 7.8191 ms
[10:14:02 INF] HTTP GET /_framework/System.Runtime.k6ze2203p2.wasm responded 200 in 7.1036 ms
